City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
392,zaragoza,41.6561,-0.8773,30.57,30.15,40,7.2,ES,1688644675
393,uribia,11.7139,-72.266,27.57,30.2,99,9.28,CO,1688644840
394,al hufuf,25.3646,49.5653,46.19,41.16,0,3.09,SA,1688644817
395,savsat,41.2403,42.3611,28.63,28.68,1,2.82,TR,1688644842
396,la'ie,21.6477,-157.9253,25.0,24.62,96,2.68,US,1688644843
397,debark',13.1561,37.8981,17.09,16.37,74,3.34,ET,1688644845
398,saynshand,44.8824,110.1163,17.91,17.38,92,8.32,MN,1688644846
399,siyabuswa,-25.1132,29.0445,20.57,19.47,0,2.38,ZA,1688644847
400,tazovsky,67.4667,78.7,15.96,15.0,3,2.18,RU,1688644848
401,west salem,43.8991,-91.0813,15.18,14.59,2,2.24,US,1688644849
402,peace river,56.2501,-117.286,14.81,14.83,100,1.54,CA,1688644847
403,ust-nera,64.5667,143.2,17.88,16.92,39,2.04,RU,1688644576
404,emerald,-23.5333,148.1667,15.75,15.1,50,5.41,AU,1688644846
405,vetlanda,57.4289,15.0776,13.92,13.46,99,6.17,SE,1688644855
406,tamanrasset,22.785,5.5228,36.95,33.94,0,4.12,DZ,1688644857
407,fort irwin,35.2627,-116.6848,22.74,21.72,0,2.06,US,1688644811
408,genhe,50.7833,121.5167,18.02,17.78,37,2.0,CN,1688644860
409,suleja,9.1758,7.1808,27.55,28.36,55,2.02,NG,1688644861
410,masterton,-40.9597,175.6575,3.72,3.72,49,0.81,NZ,1688644863
411,bhawanipatna,19.9,83.1667,30.11,34.58,96,0.83,IN,1688644865
412,sosnovyy bor,59.9,29.1167,20.49,20.06,91,1.45,RU,1688644866
413,hindoria,23.9,79.5667,32.89,38.21,100,3.12,IN,1688644871
414,eatonton,33.3268,-83.3885,23.6,24.0,1,1.75,US,1688644873
415,natal,-5.795,-35.2094,25.36,25.85,75,6.17,BR,1688644576
416,opuwo,-18.0607,13.84,25.64,24.7,1,10.06,NA,1688644875
417,zhalantun,48.0,122.7167,17.34,17.56,99,4.78,CN,1688644877
418,galliano,29.4422,-90.2992,26.0,25.87,93,0.44,US,1688644878
419,freetown,8.484,-13.2299,27.28,30.05,98,3.85,SL,1688644503
420,puerto deseado,-47.7503,-65.8938,1.47,-4.0,37,6.93,AR,1688644882
421,al bardiyah,31.7561,25.0865,28.62,30.27,0,8.91,LY,1688644883
422,salekhard,66.53,66.6019,25.89,25.58,95,6.8,RU,1688644884
423,kogalym,62.2654,74.4791,29.14,28.75,52,4.45,RU,1688644886
424,sioux center,43.0797,-96.1756,10.01,9.04,1,1.9,US,1688644817
425,rosarito,32.3333,-117.0333,16.53,15.25,16,3.8,MX,1688644520
426,barra de santo antonio,-9.4047,-35.5072,22.6,23.19,99,5.46,BR,1688644889
427,egilsstadir,65.2653,-14.3948,8.95,6.03,75,5.66,IS,1688644891
428,shingu,33.7333,135.9833,24.53,25.26,76,1.84,JP,1688644892
429,sibiti,-3.6819,13.3499,31.25,31.09,11,1.61,CG,1688644894
430,n'zeto,-7.2312,12.8666,25.27,25.6,7,4.01,AO,1688644900
431,christchurch,-43.5333,172.6333,1.38,-0.36,100,0.0,NZ,1688644808
432,motueka,-41.1333,173.0167,5.81,4.96,42,1.43,NZ,1688644902
433,flin flon,54.7682,-101.865,13.91,13.65,100,1.03,CA,1688644904
434,recreo,-29.2818,-65.061,18.55,18.34,50,1.28,AR,1688644905
435,sucua,-2.4667,-78.1667,18.87,19.37,53,1.27,EC,1688644906
436,piranhas,-16.4269,-51.8222,22.34,21.62,1,1.89,BR,1688644907
437,nouadhibou,20.931,-17.0347,25.99,25.99,60,10.29,MR,1688644908
438,greenland,43.0362,-70.8328,26.36,24.6,13,1.12,US,1688644909
439,ceeldheer,3.8488,47.1806,29.15,30.53,82,13.17,SO,1688644910
440,ewo,-0.8725,14.8206,33.55,33.59,7,2.03,CG,1688644912
441,bull savanna,17.8868,-77.5902,25.93,26.46,16,6.15,JM,1688644913
442,port lincoln,-34.7333,135.8667,12.58,11.62,13,6.96,AU,1688644914
443,progreso,21.2833,-89.6667,26.17,26.17,95,3.07,MX,1688644915
444,merizo village,13.2658,144.6691,29.21,35.13,100,6.2,GU,1688644917
445,sterling,39.0062,-77.4286,26.59,24.75,20,2.06,US,1688644660
446,gisborne,-38.6533,178.0042,10.48,9.44,76,2.64,NZ,1688644912
447,crane,31.3974,-102.3501,24.45,24.94,0,6.54,US,1688644921
448,souillac,-20.5167,57.5167,25.21,25.59,40,4.12,MU,1688644928
449,luderitz,-26.6481,15.1594,24.23,23.34,55,4.07,NA,1688644933
450,semarang,-6.9932,110.4203,26.96,29.93,40,4.12,ID,1688644811
451,beruniy,41.6911,60.7525,36.98,35.2,0,7.2,UZ,1688644936
452,grand falls-windsor,48.9332,-55.6649,10.84,10.43,100,0.89,CA,1688644937
453,suarez,2.954,-76.6964,19.54,20.03,99,0.41,CO,1688644938
454,dul'durga,50.6761,113.5931,18.69,18.68,58,3.05,RU,1688644940
455,gumel,12.6279,9.3912,37.29,36.61,41,2.66,NG,1688644941
